id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libuuid1,libuuid1,libuuid1,Universally Unique ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libwnck-3-0,libwnck-3-0,libwnck-3-0,Window Navigator Construction Kit - runtime files,,,1,1,,,,Section=libs; Version=43.2-1,,,,,,,
libxfce4windowing-0-0,libxfce4windowing-0-0,libxfce4windowing-0-0,Wayland utility functions library for Xfce4,,,1,1,,,,Section=libs; Version=4.20.2-1,,,,,,,
libdbus-1-3,libdbus-1-3,libdbus-1-3,simple interprocess messaging system (library),,,1,1,,,,Section=libs; Version=1.16.2-2,,,,,,,
libdbus-glib-1-2,libdbus-glib-1-2,libdbus-glib-1-2,deprecated library for D-Bus IPC,,,1,1,,,,Section=oldlibs; Version=0.114-1,,,,,,,
libgnomekbd8,libgnomekbd8,libgnomekbd8,GNOME library to manage keyboard configuration - shared library,,,1,1,,,,Section=libs; Version=3.28.1-2,,,,,,,
libpam0g,libpam0g,libpam0g,Pluggable Authentication Modules library,,,1,1,,,,Section=libs; Version=1.7.0-5,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxext6,libxext6,libxext6,X11 miscellaneous extension library,,,1,1,,,,Section=libs; Version=2:1.3.4-1+b3,,,,,,,
libxklavier16,libxklavier16,libxklavier16,X Keyboard Extension high-level API,,,1,1,,,,Section=libs; Version=5.4-5+b2,,,,,,,
libxxf86vm1,libxxf86vm1,libxxf86vm1,X11 XFree86 video mode extension library,,,1,1,,,,Section=libs; Version=1:1.1.4-1+b4,,,,,,,
default-dbus-session-bus,default-dbus-session-bus,default-dbus-session-bus,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gsettings-desktop-schemas,gsettings-desktop-schemas,gsettings-desktop-schemas,GSettings desktop-wide schemas,,,1,1,,,,Section=gnome; Version=48.0-1,,,,,,,
gnome-power-manager,gnome-power-manager,gnome-power-manager,power management tool for the GNOME desktop,,,1,1,,,,Section=gnome; Version=43.0-4+b1,,,,,,,
libpam-gnome-keyring,libpam-gnome-keyring,libpam-gnome-keyring,PAM module to unlock the GNOME keyring upon login,,,1,1,,,,Section=admin; Version=48.0-1,,,,,,,
upower,upower,upower,abstraction for power management,,,1,1,,,,Section=admin; Version=1.90.9-1,,,,,,,
