id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
qml6-module-qtcore,qml6-module-qtcore,qml6-module-qtcore,Qt 6 QML Core QML module,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
libkf6bluezqt6,libkf6bluezqt6,libkf6bluezqt6,Qt wrapper for bluez,,,1,1,,,,Section=libs; Version=6.13.0-1,,,,,,,
libqt6qml6,libqt6qml6,libqt6qml6,Qt 6 QML library,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
qml6-module-org-kde-config,qml6-module-org-kde-config,qml6-module-org-kde-config,QML module for kconfig,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
qml6-module-qtquick-templates,qml6-module-qtquick-templates,qml6-module-qtquick-templates,Qt 6 Quick Templates QML module,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
qml6-module-qtquick-window,qml6-module-qtquick-window,qml6-module-qtquick-window,Qt 6 Quick Window QML module,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
libkf6configcore6,libkf6configcore6,libkf6configcore6,configuration settings framework for Qt,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkf6itemviews6,libkf6itemviews6,libkf6itemviews6,Qt library with additional widgets for ItemModels,,,1,1,,,,Section=libs; Version=6.13.0-1,,,,,,,
libkf6kcmutilscore6,libkf6kcmutilscore6,libkf6kcmutilscore6,Extra APIs to write KConfig modules,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkf6kcmutilsquick6,libkf6kcmutilsquick6,libkf6kcmutilsquick6,Extra APIs to write KConfig modules,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libqt6quick6,libqt6quick6,libqt6quick6,Qt 6 Quick library,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
qt6-declarative-private-abi,qt6-declarative-private-abi,qt6-declarative-private-abi,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libkirigami6,libkirigami6,libkirigami6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkirigamidelegates6,libkirigamidelegates6,libkirigamidelegates6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkirigamiplatform6,libkirigamiplatform6,libkirigamiplatform6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
qml6-module-qtqml,qml6-module-qtqml,qml6-module-qtqml,Qt 6 QtQml QML module,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
qml6-module-qtquick-shapes,qml6-module-qtquick-shapes,qml6-module-qtquick-shapes,Qt 6 Quick Shapes QML module,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
libkirigamidialogs6,libkirigamidialogs6,libkirigamidialogs6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkirigamilayouts6,libkirigamilayouts6,libkirigamilayouts6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkirigamiprimitives6,libkirigamiprimitives6,libkirigamiprimitives6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
libkirigamiprivate6,libkirigamiprivate6,libkirigamiprivate6,set of QtQuick components targeted for mobile use,,,1,1,,,,Section=libs; Version=6.13.0-2,,,,,,,
qml6-module-qtmultimedia,qml6-module-qtmultimedia,qml6-module-qtmultimedia,Qt 6 Multimedia QML module,,,1,1,,,,Section=libs; Version=6.8.2-8,,,,,,,
libkf6prison6,libkf6prison6,libkf6prison6,barcode API for Qt,,,1,1,,,,Section=libs; Version=6.13.0-1,,,,,,,
libkf6prisonscanner6,libkf6prisonscanner6,libkf6prisonscanner6,barcode API for Qt - barcode scanner,,,1,1,,,,Section=libs; Version=6.13.0-1,,,,,,,
libqt6quickcontrols2-6,libqt6quickcontrols2-6,libqt6quickcontrols2-6,Qt 6 Quick Controls 2 library,,,1,1,,,,Section=libs; Version=6.8.2+dfsg-7,,,,,,,
qt6-base-private-abi,qt6-base-private-abi,qt6-base-private-abi,unknown,,,1,1,,,,missing in Packages file,,,,,,,
