id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"lib32z1","lib32z1","lib32z1","compression library - 32 bit runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","",""
"libc6-i386","libc6-i386","libc6-i386","GNU C Library: 32-bit shared libraries for AMD64","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"","","","","","","","","","","","","lib32z1","libc6-i386","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6-i386","libc6","Depends","#333","1","Depends","{}"
