id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
module:imports/client/store/index.js,imports/client/store/index.js,imports/client/store/index.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/store/index.js"",""label"":""imports/client/store/index.js"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/common/ErrorBoundary.jsx,imports/client/ui/components/common/ErrorBoundary.jsx,imports/client/ui/components/common/ErrorBoundary.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/common/ErrorBoundary.jsx"",""label"":""imports/client/ui/components/common/ErrorBoundary.jsx"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/common/Popup.jsx,imports/client/ui/components/common/Popup.jsx,imports/client/ui/components/common/Popup.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/common/Popup.jsx"",""label"":""imports/client/ui/components/common/Popup.jsx"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/common/WindowPortal.jsx,imports/client/ui/components/common/WindowPortal.jsx,imports/client/ui/components/common/WindowPortal.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/common/WindowPortal.jsx"",""label"":""imports/client/ui/components/common/WindowPortal.jsx"",""type"":""module"",""exports"":[],""functionCount"":4,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/Cytoscape.jsx,imports/client/ui/components/network/Cytoscape.jsx,imports/client/ui/components/network/Cytoscape.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/Cytoscape.jsx"",""label"":""imports/client/ui/components/network/Cytoscape.jsx"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/GraphWrapper.jsx,imports/client/ui/components/network/GraphWrapper.jsx,imports/client/ui/components/network/GraphWrapper.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/GraphWrapper.jsx"",""label"":""imports/client/ui/components/network/GraphWrapper.jsx"",""type"":""module"",""exports"":[""GraphWrapper""],""functionCount"":3,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/benchmark/benchmark.js,imports/client/ui/components/network/benchmark/benchmark.js,imports/client/ui/components/network/benchmark/benchmark.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/benchmark/benchmark.js"",""label"":""imports/client/ui/components/network/benchmark/benchmark.js"",""type"":""module"",""exports"":[],""functionCount"":2,""hasDefaultExport"":false,""errors"":[]}"
module:imports/client/ui/components/network/cy/CytoscapeWrapper.js,imports/client/ui/components/network/cy/CytoscapeWrapper.js,imports/client/ui/components/network/cy/CytoscapeWrapper.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/cy/CytoscapeWrapper.js"",""label"":""imports/client/ui/components/network/cy/CytoscapeWrapper.js"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/graphAdapters/cyElementsToGraphology.js,imports/client/ui/components/network/graphAdapters/cyElementsToGraphology.js,imports/client/ui/components/network/graphAdapters/cyElementsToGraphology.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/graphAdapters/cyElementsToGraphology.js"",""label"":""imports/client/ui/components/network/graphAdapters/cyElementsToGraphology.js"",""type"":""module"",""exports"":[""cyElementsToGraphology""],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/graphAdapters/reagraphAdapter.js,imports/client/ui/components/network/graphAdapters/reagraphAdapter.js,imports/client/ui/components/network/graphAdapters/reagraphAdapter.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/graphAdapters/reagraphAdapter.js"",""label"":""imports/client/ui/components/network/graphAdapters/reagraphAdapter.js"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
