# Selection: selection
"id","name","label","description","color","fillColor","weight","rawWeight","lat","lng","start","end","time","date","source","target","edgeLabel","edgeColor","edgeWeight","emoji","extra"
"med-statistics","","","","","","","","","","","","","","","","","","","",""
"med-all","","med-all","","#39d039","","3","1","","","","","","","","","","","","",""
"med-config","","med-config","","#ce39d0","","3","1","","","","","","","","","","","","",""
"med-tasks","","med-tasks","","#40d039","","3","1","","","","","","","","","","","","",""
"r-bioc-edger","","r-bioc-edger","","#393ed0","","2","1","","","","","","","","","","","","",""
"r-bioc-limma","","r-bioc-limma","","#39d096","","2","1","","","","","","","","","","","","",""
"r-bioc-multtest","","r-bioc-multtest","","#39c4d0","","1","1","","","","","","","","","","","","",""
"r-bioc-qvalue","","r-bioc-qvalue","","#d03978","","1","1","","","","","","","","","","","","",""
"r-cran-ade4","","r-cran-ade4","","#d07539","","1","1","","","","","","","","","","","","",""
"r-cran-beeswarm","","r-cran-beeswarm","","#d0a839","","1","1","","","","","","","","","","","","",""
"r-cran-pvclust","","r-cran-pvclust","","#d07839","","1","1","","","","","","","","","","","","",""
"r-cran-randomforest","","r-cran-randomforest","","#397ad0","","1","1","","","","","","","","","","","","",""
"r-cran-rwave","","r-cran-rwave","","#d039ba","","1","1","","","","","","","","","","","","",""
"r-cran-snowfall","","r-cran-snowfall","","#396bd0","","1","1","","","","","","","","","","","","",""
"r-cran-waveslim","","r-cran-waveslim","","#39d043","","1","1","","","","","","","","","","","","",""
"r-cran-wavethresh","","r-cran-wavethresh","","#39d055","","1","1","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","med-all","med-statistics","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","med-config","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","med-tasks","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-bioc-edger","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-bioc-limma","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-bioc-multtest","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-bioc-qvalue","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-ade4","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-beeswarm","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-pvclust","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-randomforest","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-rwave","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-snowfall","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-waveslim","","#333","1",""
"","","","","","","","","","","","","","","med-statistics","r-cran-wavethresh","","#333","1",""
