source_package,count
r-cran-numderiv,32
ruby-rspec,32
sdl-ttf2.0,32
xxhash,32
yaml-cpp,32
zsh,32
dask,31
dcmtk,31
debian-games,31
debootstrap,31
fortune-mod,31
gfal2,31
gimp-help,31
golang-github-golang-protobuf-1-5,31
golang-github-klauspost-compress,31
golang-golang-x-tools,31
haskell-transformers-base,31
kf6-ksvg,31
kf6-kuserfeedback,31
libghc-async-prof-2.2.5-51753,31
libghc-syb-dev-0.7.2.4-5c37c,31
libghc-syb-prof-0.7.2.4-5c37c,31
libgsf,31
libio-socket-ip-perl,31
libmaxminddb,31
libplist,31
librust-digest-0.10+default-dev,31
librust-flate2-1+default-dev,31
librust-tokio-1+fs-dev,31
libunistring,31
lightdm,31
lighttpd,31
lomiri-content-hub,31
node-babel-runtime,31
omniorb-dfsg,31
openhpi,31
perl-tk,31
puppet-module-openstacklib,31
puppet-module-puppetlabs-inifile,31
python-oslo.db,31
python-pymysql,31
python-setproctitle,31
python-xmltodict,31
q-text-as-data,31
qscintilla2,31
qtkeychain,31
r-cran-matrixstats,31
r-cran-rcpparmadillo,31
r-cran-rstudioapi,31
ruby-addressable,31
xcb-util-wm,31
allegro4.4,30
apertium-lex-tools,30
assimp,30
asterisk-core-sounds,30
blis,30
configobj,30
fltk1.4,30
fonts-urw-base35,30
gcr4,30
gdcm,30
glfw3,30
golang-github-mattn-go-isatty,30
golang-golang-x-exp,30
gst-plugins-ugly1.0,30
haskell-async,30
haskell-lens,30
hicolor-icon-theme,30
inet-superserver,30
java10-runtime,30
jaxb-api,30
jemalloc,30
kf6-kauth,30
libcommons-compress-java,30
libconfig,30
libdvdread,30
libghc-memory-dev-0.18.0-3cdf0,30
libghc-memory-prof-0.18.0-3cdf0,30
libnet-ssleay-perl,30
libodfgen,30
libqb,30
librust-arbitrary-1+default-dev,30
librust-tokio-1+sync-dev,30
libtie-ixhash-perl,30
libxerces2-java,30
libxklavier,30
mjpegtools,30
ncbi-tools6,30
node-graceful-fs,30
pexpect,30
pymongo,30
python-debtcollector,30
python-iso8601,30
python-oslo.service,30
python-qtpy,30
r-bioc-genomeinfodb,30
r-cran-callr,30
r-cran-stringi,30
r-zoo,30
ruby-thor,30
samtools,30
scim,30
signond,30
skimage,30
startup-notification,30
strongswan,30
systemsettings,30
uwsgi-plugin-python,30
batik,29
bsd-mailx,29
cluster-glue,29
ding-libs,29
gir1.2-gtk-3.0-dev,29
haskell-conduit-extra,29
haskell-syb,29
libaccounts-qt,29
libaio,29
libbase-ocaml-ynq48,29
libftdi1,29
libghc-lens-dev-5.2.3-76305,29
libghc-lens-prof-5.2.3-76305,29
liblwt-ocaml-mo111,29
librust-nom-7+default-dev,29
libsoup2.4,29
libtext-csv-perl,29
liburing,29
libxv,29
markupsafe,29
nghttp2,29
node-source-map,29
r-cran-markdown,29
r-cran-rcppeigen,29
r-cran-readr,29
r-cran-xml,29
ruby-google-apis-core,29
servlet-api,29
unbound,29
wavpack,29
anthy,28
binutils-mipsen,28
cluster,28
debian-electronics,28
gimp,28
haskell-monad-control,28
highlight.js,28
libghc-monad-control-dev-1.0.3.1-b8be8,28
libmemcached,28
libmicrohttpd,28
libmouse-perl,28
librust-libc-0.2-dev,28
librust-syn-2+derive-dev,28
librust-syn-2+proc-macro-dev,28
librust-zeroize-1-dev,28
libuniversal-require-perl,28
lirc,28
lomiri-online-accounts,28
node-chalk,28
node-resolve,28
ocaml,28
python-oslo.policy,28
pyzmq,28
r-cran-doparallel,28
r-cran-sf,28
r-cran-yaml,28
rsplib,28
rust-git2,28
urwid,28
weechat,28
geoclue-2.0,27
geoip,27
gfortran-mod-15,27
golang-gogoprotobuf,27
gpm,27
gpsd,27
gr-framework,27
gtksourceview3,27
haskell-split,27
haskell-wai,27
karchive,27
kf6-kfilemetadata,27
ktextwidgets,27
libayatana-common,27
libbase-ocaml-dev-ynq48,27
libclass-data-inheritable-perl,27
libghc-conduit-extra-dev-1.3.6-aaee5,27
libghc-conduit-extra-prof-1.3.6-aaee5,27
libghc-monad-control-prof-1.0.3.1-b8be8,27
libghc-split-dev-0.2.5-3cfdd,27
libgtop2,27
liblwt-ocaml-dev-mo111,27
librust-toml-0.8+default-dev,27
librust-winapi-0.3+winbase-dev,27
libyaml-syck-perl,27
lsof,27
mpv,27
node-through2,27
openbsd-inetd,27
openvswitch,27
python-keystonemiddleware,27
python-magic,27
python-osc-lib,27
qt6-translations,27
r-cran-cpp11,27
r-cran-vdiffr,27
ros-class-loader,27
ros-dynamic-reconfigure,27
rsyslog,27
ruby-multi-json,27
sndio,27
sympy,27
traitlets,27
ust,27
volk,27
akonadi-search,26
analitza,26
arpack,26
bash-completion,26
d3,26
desktop-file-utils,26
docker.io,26
dtkcore,26
exim4,26
festival,26
fp-units-win,26
gnome-icon-theme,26
gnome-settings-daemon,26
golang-github-mattn-go-colorable,26
golang-github-prometheus-client-golang,26
golang-yaml.v2-dev,26
google-perftools,26
gsasl,26
gtk-layer-shell,26
haskell-haskell-gi-base,26
kf6-kpackage,26
kitemviews,26
libclaw,26
libgetopt-long-descriptive-perl,26
libghc-split-prof-0.2.5-3cfdd,26
libio-socket-inet6-perl,26
libjson-pp-perl,26
libkpim6akonadiwidgets6-24.12,26
libkpim6identitymanagementcore6-24.12,26
libpod-parser-perl,26
libproxy,26
librnd,26
librust-cipher-0.4+default-dev,26
librust-futures-channel-0.3+default-dev,26
librust-futures-core-0.3+default-dev,26
librust-http-1+default-dev,26
librust-num-traits-0.2-dev,26
librust-rustix-0.38+fs-dev,26
librust-syn-1+extra-traits-dev,26
libssh,26
libstrictures-perl,26
libxkbfile,26
live-tasks,26
mako,26
mathgl,26
meta-kde,26
nifticlib,26
notmuch,26
opusfile,26
owfs,26
php-psr-log,26
plasma-activities,26
plymouth,26
pygame,26
python-certbot,26
python-openstacksdk,26
python-requests-oauthlib,26
python-shapely,26
python-tornado,26
qtwayland-opensource-src,26
r-bioc-annotationdbi,26
s3d,26
sendmail,26
ssh-client,26
storm-lang,26
thunar,26
tinysparql,26
xcb-util-keysyms,26
z3,26
attr,25
audacious,25
cinnamon-desktop,25
cups-filters,25
debian-edu-doc,25
debian-hamradio,25
dosfstools,25
ethtool,25
folks,25
fonts-roboto,25
gmsh,25
gnome-colors,25
gnome-keyring,25
golang-golang-x-term,25
gst-libav1.0,25
gtksourceview5,25
haskell-safe,25
jackson-core,25
java-runtime,25
java7-runtime,25
kf6-kpeople,25
kirigami2,25
kosmindoormap,25
libclass-xsaccessor-perl,25
libcommons-collections3-java,25
libdate-manip-perl,25
libfm,25
libghc-wai-dev-3.2.4-ed743,25
libghc-wai-prof-3.2.4-ed743,25
libhdf4,25
libpaper,25
librust-gix-path-0.10+default-dev,25
librust-tokio-1+macros-dev,25
librust-zeroize-1+default-dev,25
miniupnpc,25
mpich,25
node-proxy-agents,25
openscenegraph,25
puppet-module-oslo,25
python-legacy-cgi,25
python-mashumaro,25
python-oslo.upgradecheck,25
python-xarray,25
python-xlib,25
qtxmlpatterns-opensource-src,25
r-bioc-biocparallel,25
ros-geometry,25
rust-swc-core,25
sonnet,25
vdeplug4,25
wagon,25
zbar,25
bash,24
cpio,24
debichem,24
dovecot,24
dtkgui,24
eckit,24
fcitx5-table-extra,24
gedit-plugins,24
gjs,24
golang-golang-x-time,24
golang-logrus-dev,24
gsequencer,24
haskell-ansi-terminal,24
haskell-blaze-html,24
haskell-cereal,24
haskell-semigroupoids,24
haskell-unliftio-core,24
haskell-xml-conduit,24
jackson-databind,24
knot,24
knotifications,24
kpackage,24
libaec,24
libclass-inspector-perl,24
libcommon-sense-perl,24
libconfig-tiny-perl,24
libdate-calc-perl,24
libghc-haskell-gi-base-dev-0.26.8-b9bc7,24
libghc-haskell-gi-base-prof-0.26.8-b9bc7,24
libghc-old-locale-dev-1.0.0.7-47547,24
libghc-old-locale-prof-1.0.0.7-47547,24
libid3tag,24
libkml,24
liborcus,24
librust-chrono-0.4+std-dev,24
librust-gix-hash-0.15+default-dev,24
librust-glob-0.3+default-dev,24
libxml-twig-perl,24
maven-resolver,24
media-types,24
mplayer,24
nbformat,24
netatalk,24
nftables,24
nmap,24
p11-kit,24
pd-libdir,24
pinentry,24
plexus-containers,24
ply,24
python-cliff,24
python-httplib2,24
python-oslo.middleware,24
pytorch,24
qt6-speech,24
qt6-webchannel,24
qtserialport-opensource-src,24
r-cran-bh,24
r-cran-broom,24
r-cran-coda,24
r-cran-sp,24
r-cran-tidyselect,24
ruby-concurrent,24
speexdsp,24
ssl-cert,24
voluptuous,24
xapp,24
xauth,24
xorg-video-abi-25,24
bleak,23
codetools,23
cracklib2,23
dbus-system-bus,23
designate,23
ejabberd,23
globus-gsi-sysconfig,23
gnome-session,23
golang-github-opencontainers-go-digest,23
haskell-http-client,23
haskell-th-abstraction,23
jupyter-core,23
kf6-knotifyconfig,23
kwallet-kf5,23
libavif,23
libdrumstick,23
liberror-perl,23
libghc-ansi-terminal-dev-1.0.2-25450,23
libghc-safe-dev-0.3.21-37825,23
libghc-safe-prof-0.3.21-37825,23
libghc-semigroups-dev-0.20-307a4,23
libghc-semigroups-prof-0.20-307a4,23
libghc-xml-conduit-dev-1.9.1.3-5088a,23
libghc-xml-conduit-prof-1.9.1.3-5088a,23
libhttp-date-perl,23
libkgapi5,23
libmoosex-role-parameterized-perl,23
libmtp,23
libnet,23
librust-futures-util-0.3-dev,23
librust-memmap2-0.9+default-dev,23
librust-num-traits-0.2+std-dev,23
libtask-weaken-perl,23
libyaml-tiny-perl,23
lilv,23
lilypond,23
m4,23
malcontent,23
man-db,23
mutagen,23
node-mkdirp,23
openbabel,23
openvanilla-modules,23
ostree,23
pastedeploy,23
pastescript,23
ppp,23
puppet-module-keystone,23
pycurl,23
python-boto3,23
python-oauthlib,23
python-pip,23
python-prometheus-client,23
pyusb,23
qcoro,23
qt6-grpc,23
qtscript-opensource-src,23
r-cran-ape,23
r-cran-base64enc,23
r-cran-pillar,23
requirejs,23
ros-rospkg,23
ruby-ffi,23
sane-backends,23
wcslib,23
wmaker,23
xfonts-100dpi,23
akonadi-mime,22
alsa-utils,22
argon2,22
cyrus-imapd,22
default-dbus-system-bus,22
eclipse-emf,22
exo,22
flex,22
freetds,22
giza,22
glgrib,22
haskell-base-compat,22
haskell-dlist,22
html5lib,22
java8-runtime-headless,22
kguiaddons,22
libassuan,22
libbluray,22
libc0.1,22
libc6.1,22
libclass-method-modifiers-perl,22
libcpanel-json-xs-perl,22
libexporter-tiny-perl,22
libghc-ansi-terminal-prof-1.0.2-25450,22
libghc-blaze-html-dev-0.9.2.0-cce28,22
libghc-cereal-dev-0.5.8.3-7d511,22
libghc-cereal-prof-0.5.8.3-7d511,22
libghc-dlist-dev-1.0-d3ec3,22
libghc-semigroupoids-dev-6.0.1-b41bf,22
libghc-semigroupoids-prof-6.0.1-b41bf,22
libghc-th-abstraction-dev-0.5.0.0-7c32d,22
libghc-th-abstraction-prof-0.5.0.0-7c32d,22
libghc-unliftio-core-dev-0.2.1.0-20198,22
libghc-unliftio-core-prof-0.2.1.0-20198,22
libgsm,22
libgwenhywfar,22
libkpim6pimcommon6-24.12,22
libkscreen,22
libmime-types-perl,22
libpadwalker-perl,22
librust-async-std-1+default-dev,22
librust-gobject-sys-0.20+default-dev,22
librust-log-0.4+std-dev,22
librust-tokio-1+rt-multi-thread-dev,22
libsolv,22
libsub-name-perl,22
libterm-readline-gnu-perl,22
libwmf,22
newt,22
nova,22
python-flake8,22
python-greenlet,22
python-neutronclient,22
python-zeroconf,22
rpart,22
rubberband,22
sandwich,22
sugar-toolkit-gtk3,22
twitter-bootstrap4,22
virtuoso-opensource,22
websocket-client,22
xfonts-75dpi,22
adwaita-icon-theme,21
bluetooth-data-tools,21
boot,21
capstone,21
cjson,21
clthreads,21
courier-authlib,21
dialog,21
distro-info,21
double-conversion,21
ejabberd-contrib,21
fenics-basix,21
foreign,21
freehep-vectorgraphics,21
freeimage,21
freeradius,21
globus-gsi-credential,21
gnome-menus,21
idzebra,21
igerman98,21
kcodecs,21
kcrash,21
kdbusaddons,21
kernsmooth,21
kf6-prison,21
knewstuff,21
kparts,21
libapache2-mod-perl2,21
libauthen-sasl-perl,21
libcamlp-streams-ocaml-dev-0lin0,21
libconfig-general-perl,21
libconfig-inifiles-perl,21
libdatetime-timezone-perl,21
libdeflate,21
libghc-blaze-html-prof-0.9.2.0-cce28,21
libghc-dlist-prof-1.0-d3ec3,21
libghc-http-client-dev-0.7.17-4d7f0,21
libghc-http-client-prof-0.7.17-4d7f0,21
libime,21
libio-compress-perl,21
libmd,21
libmpc,21
libnet-ldap-perl,21
libre-ocaml-dev-xtyr4,21
librole-tiny-perl,21
librust-bytemuck-1+default-dev,21
librust-futures-io-0.3+default-dev,21
librust-heck-0.4+default-dev,21
librust-quote-1-dev,21
librust-regex-1+std-dev,21
librust-rustix-0.38+default-dev,21
librust-sha1-0.10+default-dev,21
librust-socket2-0.5+default-dev,21
librust-subtle-2-dev,21
librust-winapi-0.3+handleapi-dev,21
libsub-install-perl,21
lxc,21
mozc,21
okular,21
promod3,21
prompt-toolkit,21
python-bcrypt,21
python-cachetools,21
python-testtools,21
python-toml,21
r-bioc-rtracklayer,21
r-cran-htmlwidgets,21
r-cran-rsqlite,21
r-cran-tinytest,21
shapelib,21
singular,21
spice-gtk,21
stardict,21
supercollider,21
swi-prolog,21
swift,21
totem-pl-parser,21
udunits,21
vala,21
vdr-abi-2.6.0-debian,21
xfonts-base,21
abind,20
car,20
dmidecode,20
dtkwidget,20
eog-plugins,20
espeak-ng,20
fontforge,20
fonts-noto-color-emoji,20
garcon,20
gir1.2-gdk-3.0,20
globus-gsi-cert-utils,20
glpk,20
golang-github-gorilla-mux,20
golang-github-opencontainers-image-spec,20
gsound,20
gspell,20
hplip,20
joblib,20
jquery-goodies,20
kglobalaccel,20
kjobwidgets,20
kmailtransport,20
libbpp-core,20
libconfig-any-perl,20
libdockapp,20
libdumb,20
libghc-base-compat-dev-0.13.1-70afd,20
libghc-base-compat-prof-0.13.1-70afd,20
libhash-merge-perl,20
libipc-run3-perl,20
libkdepim,20
libksieve,20
libnetaddr-ip-perl,20
libnsl,20
libpsl,20
libqtxdg,20
libraw1394,20
librust-encoding-rs-0.8+default-dev,20
librust-fnv-1+default-dev,20
librust-getrandom-0.2+default-dev,20
librust-proc-macro2-1-dev,20
librust-semver-1+default-dev,20
librust-slab-0.4+default-dev,20
librust-static-assertions-1+default-dev,20
librust-syn-2+clone-impls-dev,20
librust-thiserror+default-dev,20
librust-tokio-util-0.7+default-dev,20
libsoap-lite-perl,20
libvpx,20
libwww-mechanize-perl,20
libxml-sax-perl,20
libxml-writer-perl,20
lksctp-tools,20
logind,20
lxsession,20
menu,20
mutter,20
nemo,20
nextcloud-desktop,20
nfs-utils,20
node-commander,20
node-minimist,20
osgi-compendium,20
pandoc,20
python-colorlog,20
python-filelock,20
python-novaclient,20
python-pyproj,20
python-regex,20
qt6-scxml,20
r-bioc-delayedarray,20
r-cran-bit64,20
r-cran-generics,20
r-cran-maps,20
r-cran-png,20
r-cran-r.utils,20
r-cran-roxygen2,20
rake,20
request-tracker5,20
s-el,20
silx,20
update-inetd,20
xml-commons-external,20
yajl,20
antlr4,19
apache-log4j2,19
base-files,19
breezy,19
btrfs-progs,19
clutter-gtk,19
cpl,19
dh-runit,19
emboss,19
fcitx5-qt,19
flatpak,19
flite,19
gexiv2,19
gir1.2-libxml2-2.0,19
globus-gsi-openssl-error,19
golang-github-hashicorp-go-multierror,19
golang-github-mattn-go-sqlite3,19
gupnp,19
haskell-blaze-markup,19
haskell-comonad,19
haskell-hslua-core,19
haskell-unliftio,19
haskell-zlib,19
hmisc,19
httpcomponents-core,19
ipykernel,19
iraf,19
java7-runtime-headless,19
jupyter-client,19
kalkun,19
kpipewire,19
layer-shell-qt,19
libalgorithm-diff-perl,19
libclass-dbi-perl,19
libcrypt-ssleay-perl,19
libdatetime-format-strptime-perl,19
libfuture-perl,19
libgd-perl,19
libghc-blaze-markup-dev-0.8.3.0-b0fde,19
libghc-blaze-markup-prof-0.8.3.0-b0fde,19
libghc-haskell-gi-dev-0.26.12-9241d,19
libghc-haskell-gi-prof-0.26.12-9241d,19
libghc-zlib-dev-0.6.3.0-436de,19
libgoogle-gson-java,19
libimage-exiftool-perl,19
libimobiledevice,19
liblog-dispatch-perl,19
libmoosex-getopt-perl,19
libobject-pad-perl,19
librust-arbitrary-1+derive-dev,19
librust-backtrace-0.3+default-dev,19
librust-dirs-5+default-dev,19
librust-gix-object-0.46+default-dev,19
librust-memchr-2-dev,19
librust-sha2-0.10-dev,19
librust-time-0.3+parsing-dev,19
libtask-kensho-perl,19
libtest-deep-perl,19
liburcu,19
lttoolbox,19
mecab,19
mercurial,19
mlt,19
mpi4py,19
notification-daemon,19
nut,19
patch,19
php-twig,19
pybind11,19
python-mkdocs,19
python-pyqtgraph,19
python-requests-toolbelt,19
python-swiftclient,19
qt6-charts,19
qtsystems-opensource-src,19
r-cran-emmeans,19
r-cran-xtable,19
ros-perception-pcl,19
scilab,19
shiki-colors-murrine,19
simplejson,19
superlu,19
system-config-printer,19
tango,19
wheel,19
zeitgeist,19
android-platform-tools-base,18
angular.js,18
bluetooth-sensor-state-data,18
c-compiler,18
calligra,18
cdparanoia,18
clxclient,18
coinutils,18
daemon,18
dctrl-tools,18
default-logind,18
dictd,18
docbook-xml,18
feedbackd,18
fftw,18
fonts-lato,18
geronimo-annotation-1.3-spec,18
gnustep-addresses,18
golang-github-frankban-quicktest,18
golang-github-golang-snappy,18
golang-github-mitchellh-go-homedir,18
gosa,18
haskell-base-orphans,18
haskell-file-embed,18
haskell-prettyprinter,18
haskell-tasty,18
haskell-unix-compat,18
hdparm,18
httpd-cgi,18
inkscape,18
intellij-annotations,18
keybinder-3.0,18
kf6-baloo,18
kirigami-addons5,18
libcaca,18
libcarp-clan-perl,18
libdevel-stacktrace-perl,18
libgd-gd2-perl,18
libghc-base-orphans-dev-0.9.2-d3cf3,18
libghc-base-orphans-prof-0.9.2-d3cf3,18
libghc-comonad-dev-5.0.8-e1e0b,18
libghc-comonad-prof-5.0.8-e1e0b,18
libghc-unliftio-dev-0.2.25.0-04764,18
libghc-unliftio-prof-0.2.25.0-04764,18
libghc-zlib-prof-0.6.3.0-436de,18
libgraph-perl,18
libgtk3-perl,18
libgweather4,18
libhtml-template-perl,18
libopencl-1.2-1,18
libref-util-perl,18
librust-arrayvec-0.7-dev,18
librust-bstr-1+serde-dev,18
librust-num-bigint-0.4+default-dev,18
librust-rand-core-0.6+default-dev,18
librust-rustc-version-0.4+default-dev,18
librust-time-0.3+macros-dev,18
librust-tracing-0.1+log-dev,18
libsafe-isa-perl,18
libsocket-perl,18
libsocket6-perl,18
libsoxr,18
libstb,18
libtasn1-6,18
libtext-csv-xs-perl,18
libxdmcp,18
maxima,18
more-itertools,18
mosquitto,18
network-manager-applet,18
node-rimraf,18
orocos-kdl,18
plasma5support,18
pluma-plugins,18
python-charset-normalizer,18
python-futurist,18
python-git,18
python-glanceclient,18
python-nacl,18
python-pecan,18
python-tomlkit,18
qt6-quick3d-private-abi,18
qtcharts-opensource-src,18
qtchooser,18
qtwebsockets-opensource-src,18
qwt,18
r-bioc-limma,18
r-cran-future,18
r-cran-runit,18
redland,18
ros-ros-comm-msgs,18
roundcube,18
skkdic,18
urdfdom,18
7zip,17
anacron,17
atril,17
augeas,17
buteo-syncfw,17
cantor,17
cheese,17
cl-alexandria,17
commons-math3,17
docbook-xsl,17
docopt,17
enet,17
gnome-themes-extra,17
golang-fsnotify,17
golang-github-coreos-go-systemd,17
golang-github-mitchellh-mapstructure,17
golang-google-api,17
golang-toml,17
gssdp,17
haskell-distributive,17
haskell-gi-glib,17
haskell-http-conduit,17
haskell-optparse-applicative,17
haskell-profunctors,17
ipxe,17
jack-audio-connection-kit,17
libbigstringaf-ocaml-nbhp2,17
libchamplain,17
libconfuse,17
libdevel-globaldestruction-perl,17
libdv,17
libghc-distributive-dev-0.6.2.1-d9a73,17
libghc-distributive-prof-0.6.2.1-d9a73,17
libghc-hslua-core-dev-2.3.2-53d16,17
libghc-hslua-core-prof-2.3.2-53d16,17
libghc-unix-compat-dev-0.7.3-765ba,17
libghc-unix-compat-prof-0.7.3-765ba,17
libintl-perl,17
liblxqt,17
libmbim,17
libmodule-install-perl,17
libnet-ip-perl,17
libnet-server-perl,17
libnova,17
libre2-11-absl20240722,17
librest,17
librust-cipher-0.4+zeroize-dev,17
librust-clap-4+wrap-help-dev,17
librust-crossbeam-channel-0.5+default-dev,17
librust-futures-util-0.3+default-dev,17
librust-gio-0.20+default-dev,17
librust-gix-features-0.39+default-dev,17
librust-hmac-0.12+default-dev,17
librust-http-0.2+default-dev,17
librust-mime-0.3+default-dev,17
librust-num-cpus-1+default-dev,17
librust-paste-1+default-dev,17
librust-pin-project-1+default-dev,17
librust-termcolor-1+default-dev,17
librust-tower-service-0.3+default-dev,17
librust-tracing-0.1+std-dev,17
librust-unicode-segmentation-1+default-dev,17
librust-winapi-0.3+minwindef-dev,17
libwacom,17
libwebsockets,17
lomiri-app-launch,17
nextepc,17
ngtcp2,17
nlopt,17
node-object-assign,17
octomap,17
openbox,17
paraview,17
phosh,17
prismatic-schema-clojure,17
pupnp,17
puppet-module-puppetlabs-concat,17
python-cinderclient,17
python-pyasn1-modules,17
python-qrcode,17
python-termcolor,17
python-tooz,17
python-virtualenv,17
qtwebchannel-opensource-src,17
r-cran-colorspace,17
r-cran-r.rsp,17
r-cran-timedate,17
remmina,17
rhino,17
ros-bond-core,17
steptalk,17
subunit,17
suru-icon-theme,17
tidy-html5,17
trousers,17
tryton-modules-purchase,17
unidecode,17
xcb-util-image,17
xkeyboard-config,17
xml-core,17
xmlrpc-c,17
aalib,16
acorn,16
akonadi-calendar,16
antlr3,16
asn1crypto,16
astrometry.net,16
bamtools,16
bobcat,16
bsh,16
bubblewrap,16
budgie-extras,16
c++-compiler,16
chromaprint,16
cockpit,16
coin3,16
courier,16
discount,16
dnsmasq,16
dracut,16
dulwich,16
ecasound,16
eclipse-jdt-ui,16
eog,16
fastjet,16
fcitx5-table-other,16
flint,16
fonts-open-sans,16
forensics-samples,16
fping,16
freeciv,16
gir1.2-cairo-1.0,16
gkrellm,16
gnome-shell-extension-manager,16
golang-github-aws-aws-sdk-go,16
golang-github-fatih-color,16
golang-github-go-sql-driver-mysql,16
golang-github-google-go-querystring,16
golang-github-miekg-dns,16
golang-github-opencontainers-specs,16
golang-github-smartystreets-goconvey,16
golang-github-urfave-cli,16
golang-k8s-sigs-yaml,16
goocanvas-2.0,16
groff,16
gtk2-engines-murrine,16
gworkspace,16
haskell-base16-bytestring,16
haskell-crypton,16
haskell-hslua-marshalling,16
haskell-lifted-base,16
haskell-regex-tdfa,16
htsjdk,16
hypre,16
im-config,16
isc-dhcp,16
java6-runtime,16
javamail,16
kf6-kholidays,16
kitchensink-clojure,16
kmer,16
kwin,16
ldc,16
lemonldap-ng,16
libangstrom-ocaml-t3dv4,16
libass,16
libblas.so,16
libcryptx-perl,16
libdisplay-info,16
libdvdnav,16
libgedit-gtksourceview,16
libgetdata,16
libghc-gi-glib-dev-2.0.30-1cbbc,16
libghc-gi-glib-prof-2.0.30-1cbbc,16
libghc-lifted-base-dev-0.2.3.12-e8035,16
libghc-lifted-base-prof-0.2.3.12-e8035,16
libghc-prettyprinter-dev-1.7.1-263c6,16
libghc-prettyprinter-prof-1.7.1-263c6,16
libghc-tasty-dev-1.4.3-72017,16
libghc-tasty-prof-1.4.3-72017,16
libgnatcoll-db,16
libipc-system-simple-perl,16
libkpim6akonadimime6-24.12,16
libkpim6mailtransport6-24.12,16
liblogs-ocaml-jqsp7,16
libnfnetlink,16
libpciaccess,16
libphonenumber8t64-protobuf32,16
libphysfs,16
libpwquality,16
librabbitmq,16
librust-async-io-2+default-dev,16
librust-digest-0.10+std-dev,16
librust-filetime-0.2+default-dev,16
librust-futures-util-0.3+std-dev,16
librust-nix-0+default-dev,16
librust-rustls-native-certs-0.6+default-dev,16
librust-serde-yaml-0.9+default-dev,16
librust-tracing-0.1-dev,16
librust-winapi-0.3+winerror-dev,16
libsdl2-net,16
libtext-template-perl,16
libxml-libxslt-perl,16
libxmlada-dom-dev-3ce4a125,16
libxmlada-input-dev-22e31777,16
libxmlada-sax-dev-68924724,16
linux-base,16
linux-initramfs-tool,16
linux-signed-amd64,16
lomiri,16
lua-filesystem,16
lua5.2,16
maven-shared-utils,16
mawk,16
mhash,16
multcomp,16
node-tslib,16
openipmi,16
openjdk-21,16
openjfx,16
orcania,16
pdlapi-20,16
pfstools,16
php-pear,16
php-psr-event-dispatcher,16
php-psr-http-message,16
polkit-qt-1,16
portmidi,16
psi-plus,16
puppetlabs-i18n-clojure,16
pyenchant,16
python-arrow,16
python-osprofiler,16
python-socksipy,16
python-websockets,16
pyudev,16
qt6-websockets,16
qtgraphicaleffects-opensource-src,16
r-bioc-xvector,16
raptor2,16
rasterio,16
rhythmbox,16
rtaudio,16
ruby-minitest,16
runit,16
sidplay-libs,16
smartmontools,16
squashfs-tools,16
sra-sdk,16
starpu,16
ticcutils,16
totem,16
usbutils,16
uwsgi,16
velocity,16
agda,15
audiofile,15
autoconf,15
binutils-gold,15
bleak-retry-connector,15
bowtie2,15
brltty,15
clp,15
cmark-gfm,15
commons-parent,15
compiz,15
condor,15
console-setup,15
dav1d,15
debian-archive-keyring,15
doxia,15
efivar,15
erlang-p1-utils,15
ftgl,15
fwupd,15
gavl,15
geocode-glib,15
git-core,15
globus-gram-job-manager-scripts,15
globus-gssapi-error,15
globus-io,15
gnome-bluetooth3,15
gnome-terminal,15
golang-ginkgo,15
golang-github-docker-go-units,15
golang-github-prometheus-client-model,15
golang-go.uber-zap,15
golang-k8s-apimachinery,15
groovy,15
gtk-vnc,15
gtkspell3,15
haskell-haskell-gi,15
haskell-indexed-traversable,15
haskell-megaparsec,15
haskell-temporary,15
http-parser,15
hyphen,15
insubstantial,15
jackson-annotations,15
kf6-kquickcharts,15
kf6-networkmanager-qt,15
kpublictransport,15
libbigstringaf-ocaml-dev-nbhp2,15
libbpp-seq,15
libcpan-distnameinfo-perl,15
libdatetime-format-iso8601-perl,15
libemail-valid-perl,15
libfile-chdir-perl,15
libfile-copy-recursive-perl,15
libgeotiff,15
libghc-base16-bytestring-dev-1.0.2.0-03f49,15
libghc-base16-bytestring-prof-1.0.2.0-03f49,15
libghc-file-embed-dev-0.0.16.0-09709,15
libghc-file-embed-prof-0.0.16.0-09709,15
libghc-optparse-applicative-dev-0.18.1.0-b480a,15
libghc-optparse-applicative-prof-0.18.1.0-b480a,15
libghc-profunctors-dev-5.6.2-444e3,15
libghc-profunctors-prof-5.6.2-444e3,15
libghc-regex-tdfa-dev-1.3.2.2-429e6,15
libghc-temporary-dev-1.3-78eba,15
libghc-temporary-prof-1.3-78eba,15
libglib-perl,15
libgusb,15
libhttp-tiny-perl,15
libinih,15
libio-async-perl,15
libkpim6akonadicontactcore6-24.12,15
liblockfile,15
liblouis,15
libpackage-stash-perl,15
libperl4-corelibs-perl,15
librust-anstyle-1+default-dev,15
librust-bindgen-0.71+default-dev,15
librust-chrono-0.4+serde-dev,15
librust-clap-4+cargo-dev,15
librust-clap-complete-4+default-dev,15
librust-futures-util-0.3+alloc-dev,15
librust-gix-trace-0.1+default-dev,15
librust-lazy-regex-3+default-dev,15
librust-phf-0.11+default-dev,15
librust-rand-0.8-dev,15
librust-url-2+serde-dev,15
librust-uuid-1+v4-dev,15
librust-winapi-0.3+processthreadsapi-dev,15
librust-zeroize-1+zeroize-derive-dev,15
libshout,15
libsoftware-license-perl,15
libstring-shellquote-perl,15
libsvm,15
