source_package,count
kcoreaddons,135
libdbi-perl,135
libreoffice-dictionaries,135
librust-syn-2+default-dev,135
lz4,135
fcitx5,134
kf6-kirigami,134
libevent,133
libxi,133
libghc-directory-dev-1.3.8.5-98ebe,132
libghc-directory-prof-1.3.8.5-98ebe,131
libxinerama,131
dbus-python,130
tcltk-defaults,130
perlapi-5.40.1,129
elfutils,128
libghc-vector-dev-0.13.1.0-ca5d5,128
libghc-vector-prof-0.13.1.0-ca5d5,127
libnamespace-clean-perl,127
haskell-vector,126
pandas,126
php8.4,126
procps,126
qtmultimedia-opensource-src,126
fuse3,125
gpgme1.0,124
pipewire,124
tex-common,123
clojure,122
fmtlib,122
python-psutil,122
rdma-core,122
golang-defaults,121
libogg,121
librust-tokio-1+default-dev,121
ki18n,120
mir,120
flac,119
kf6-kwindowsystem,119
r-cran-dplyr,119
gcc-mingw-w64,118
gnustep-back,118
opencascade,118
pcl,118
qtsvg-opensource-src,118
texlive-extra,118
file,116
gnome-shell,116
kf6-kcompletion,116
libhtml-parser-perl,116
tcl8.6,116
globus-common,115
kf6-kcolorscheme,115
libarchive,115
libghc-array-dev-0.5.6.0-65c23,115
libcanberra,114
libdatetime-perl,114
libghc-array-prof-0.5.6.0-65c23,114
gobject-introspection,113
heimdal,113
liblist-moreutils-perl,113
libxfixes,113
webkit2gtk,113
pytest,111
python-oslo.utils,111
graphviz,110
vim,110
dbconfig-common,109
r-cran-tibble,109
xdg-utils,109
commons-io,108
fonts-tlwg,108
pyqt6,108
r-cran-covr,107
ros-roscpp-core,107
sdl-mixer1.2,107
puppet-agent,106
akonadi,105
json-c,105
octave,105
fpc,104
gst-plugins-good1.0,104
libghc-unordered-containers-dev-0.2.20-a0e00,104
libxml-libxml-perl,104
libxslt,104
tpm2-tss,104
debian-science,103
ghostscript,103
glibmm2.4,103
lcms2,103
libghc-unordered-containers-prof-0.2.20-a0e00,103
librust-syn-2+full-dev,103
netbase,103
r-cran-jsonlite,103
libva,101
pygments,101
qt6-3d,101
xft,101
libc-dev,100
libclass-accessor-perl,100
libtirpc,100
python-tz,100
r-cran-withr,100
golang-github-pkg-errors,99
underscore,99
visp,99
librust-cfg-if-1+default-dev,98
libsigc++-2.0,98
libxmu,98
cyrus-sasl2,97
libtool,97
python-urllib3,97
acl,96
gnustep-layout-multiarch,96
libghc-hashable-dev-1.4.4.0-fb202,96
python-oslo.config,96
texlive-bin,96
libghc-hashable-prof-1.4.4.0-fb202,95
librust-thiserror-2+default-dev,94
libxtst,94
network-manager,94
nginx,94
qgis,94
sysvinit,94
uim,94
cairo-dock-plug-ins,93
db5.3,93
haskell-hashable,93
aspell,92
golang-github-google-go-cmp,92
kf6-knotifications,92
libsecret,92
wget,92
libyaml,91
sdl-image1.2,91
sqlalchemy,91
qt6-multimedia,90
gsettings-desktop-schemas,89
hunspell,89
iproute2,89
libhttp-message-perl,89
libmodule-runtime-perl,89
libpeas,89
librust-regex-1+default-dev,89
qt3d-opensource-src,89
xfonts-utils,89
haskell-unordered-containers,88
httpd,88
python-importlib-metadata,88
casacore,87
gdal,87
librevenge,87
librust-anyhow-1+default-dev,87
puppet-module-puppetlabs-stdlib,87
qt6-declarative-private-abi,87
h5py,86
haskell-aeson,86
lua5.4,86
qt6-quick3d,86
geany-plugins,85
kf6-knewstuff,85
libghc-aeson-dev-2.1.2.1-bcb88,85
r-bioc-biocgenerics,85
r-cran-magrittr,85
rsync,85
xrootd,85
gir1.2-gobject-2.0-dev,84
gnuplot,84
iptables,84
libcgi-pm-perl,84
libghc-aeson-prof-2.1.2.1-bcb88,84
librust-bitflags-2+default-dev,84
librust-lazy-static-1+default-dev,84
libtype-tiny-perl,84
llvm-toolchain-17,84
lomiri-ui-toolkit,84
popt,84
r-cran-cli,84
twitter-bootstrap3,84
flask,83
libcommons-logging-java,83
php-symfony-contracts,82
python-docutils,82
python-jsonschema,82
python-oslo.log,82
qtquickcontrols2-opensource-src,82
fltk1.3,81
libpath-tiny-perl,81
libxcursor,81
libxrender,81
nss,81
platformdirs,81
python-oslo.i18n,81
cfitsio,80
graphene,80
sox,80
tryton-modules-product,80
android-platform-tools,79
libgee-0.8,79
librust-syn-1+default-dev,79
libxfce4util,79
llvm-toolchain-18,79
mail-transport-agent,79
python-oslo.serialization,79
qtwebengine-opensource-src,79
qtx11extras-opensource-src,79
ros-rosconsole,79
ispell,78
kf6-karchive,78
kwidgetsaddons,78
libblockdev,78
libghc-binary-dev-0.8.9.1-8e26a,78
librust-bytes-1+default-dev,78
pd,78
python-tomli,78
fribidi,77
gnat,77
gst-plugins-bad1.0,77
ibus,77
kf6-kguiaddons,77
libghc-binary-prof-0.8.9.1-8e26a,77
librust-url-2+default-dev,77
libtemplate-perl,77
make-dfsg,77
petsc,77
libghc-exceptions-dev-0.10.7-0356d,76
librust-pkg-config-0.3+default-dev,76
mpi-defaults,76
ros-metapackages,76
ukui-interface,76
www-browser,76
gnome-desktop,75
gvfs,75
libepoxy,75
libghc-exceptions-prof-0.10.7-0356d,75
libghc-ghc-prim-dev-0.10.0-e2193,75
libghc-ghc-prim-prof-0.10.0-e2193,75
libheif,75
guava-libraries,74
libio-socket-ssl-perl,74
librust-rand-0.8+default-dev,74
python-attrs,74
r-bioc-s4vectors,74
vlc,74
beautifulsoup4,73
freerdp3,73
jqueryui,73
libcompiler-libs-ocaml-dev-4b6d0,73
ocl-icd,73
onetbb,73
python-certifi,73
qt6-5compat,73
ros-geometry2,73
dbus-glib,72
libsamplerate,72
libsub-exporter-perl,72
libtheora,72
libxaw,72
lvm2,72
mbedtls,72
net-snmp,72
plexus-utils2,72
rpm,72
bluez,71
fonts-noto,71
libsdl2-mixer,71
log4cxx,71
pacemaker,71
qt6-wayland,71
xorg-server,71
grub2,70
libghc-process-dev-1.6.19.0-48ee2,70
libjsoncpp,70
slurm-wlm,70
tryton-modules-company,70
adios2,69
apt,69
libghc-process-prof-1.6.19.0-48ee2,69
libgudev,69
libsodium,69
openal-soft,69
opus,69
pcp,69
pyparsing,69
python3-stdlib-extensions,69
python3-supported-max,69
r-cran-tidyr,69
stevedore,69
bouncycastle,68
debhelper,68
default-mta,68
gawk,68
gir1.2-gio-2.0-dev,68
haskell-attoparsec,68
libghc-attoparsec-dev-0.14.4-69f92,68
libghc-attoparsec-prof-0.14.4-69f92,68
libghc-parsec-dev-3.1.16.1-a6416,68
libghc-parsec-prof-3.1.16.1-a6416,68
libice,68
librust-serde-1-dev,68
libsm,68
survival,68
unixodbc,68
alembic,67
fcitx5-chinese-addons,67
golang-golang-x-text,67
guile-3.0,67
kmod,67
qtdeclarative-abi-5-15-15,67
chromium,66
giflib,66
ktextaddons,66
librust-smallvec-1+default-dev,66
libspring-java,66
luanti,66
node-lodash,66
postgresql-17-jit-llvm,66
python-sql,66
r-cran-lifecycle,66
vtk9,66
freeglut,65
kf6-kitemmodels,65
libcatalyst-perl,65
libgd2,65
libghc-unix-dev-2.8.4.0-393b9,65
libghc-unix-prof-2.8.4.0-393b9,65
libxfce4ui,65
sudo,65
texlive-lang,65
unzip,65
xen,65
apparmor,64
glew,64
libghc-network-dev-3.1.4.0-a0756,64
libghc-network-prof-3.1.4.0-a0756,64
libseccomp,64
libyaml-perl,64
lua5.1,64
netcdf,64
pixman,64
poco,64
postgresql-common,64
python-keystoneauth1,64
swt4-gtk,64
claws-mail,63
dbus-session-bus,63
default-dbus-session-bus,63
libedit,63
lomiri-keyboard,63
phonon,63
tcp-wrappers,63
tk8.6,63
tryton-modules-party,63
wesnoth-1.18,63
fonts-font-awesome,62
gettext,62
lattice,62
libplack-perl,62
librust-cc-1+default-dev,62
libterm-readkey-perl,62
libxss,62
r-cran-scales,62
sssd,62
taglib,62
upower,62
astropy,61
chardet,61
golang-golang-x-sync,61
golang-google-protobuf,61
libcdio,61
libdbd-sqlite3-perl,61
libexif,61
libgpg-error,61
net-tools,61
pydantic,61
r-cran-vctrs,61
vte2.91,61
appstream,60
firefox,60
libfile-which-perl,60
librust-byteorder-1+default-dev,60
librust-winapi-0.3+default-dev,60
libsdl2-image,60
libsexplib0-ocaml-dev-yj523,60
libsexplib0-ocaml-yj523,60
lua5.3,60
maven,60
node-codemirror,60
r-cran-curl,60
ruby-gnome,60
tqdm,60
apache2-api-20120211,59
brotli,59
corosync,59
dart,59
libclone-perl,59
libfile-sharedir-perl,59
proj,59
qt6-tools,59
yarl,59
yelp,59
dnspython,58
fuse,58
kconfigwidgets,58
kservice,58
libxcomposite,58
openblas,58
openjpeg2,58
qtquickcontrols-opensource-src,58
r-bioc-biobase,58
r-cran-glue,58
sundials,58
xorgproto,58
colord,57
kf6-kcodecs,57
libwnck3,57
pcsc-lite,57
plplot,57
pycairo,57
python-colorama,57
shared-mime-info,57
xerces-c,57
graphicsmagick,56
libcommons-lang3-java,56
libghc-primitive-dev-0.8.0.0-0ecbe,56
libghc-primitive-prof-0.8.0.0-0ecbe,56
libghc-random-dev-1.2.1.2-67d7d,56
libghc-random-prof-1.2.1.2-67d7d,56
libjson-maybexs-perl,56
libplasma,56
libtest-simple-perl,56
luajit,56
mccode,56
psycopg2,56
pugixml,56
rich,56
debian-multimedia,55
erlang-abi,55
haskell-conduit,55
haskell-random,55
kf6-kwallet,55
libdbusmenu,55
librust-pin-project-lite-0.2+default-dev,55
librust-tokio-1+net-dev,55
libxml-parser-perl,55
libxml-simple-perl,55
lomiri-download-manager,55
motif,55
mpg123,55
portaudio19,55
r-bioc-iranges,55
r-cran-digest,55
ace,54
apr,54
cryptsetup,54
debian-med,54
gap,54
haskell-network,54
indi,54
libanyevent-perl,54
libev,54
libghc-conduit-dev-1.3.6-fff87,54
libghc-conduit-prof-1.3.6-fff87,54
librust-system-deps-7+default-dev,54
pyxdg,54
r-cran-data.table,54
r-cran-stringr,54
shadow,54
tryton-modules-stock,54
asm,53
evince,53
gdbm,53
haskell-primitive,53
kxmlgui,53
libfile-slurp-perl,53
libkdegames,53
libmoosex-types-perl,53
librust-memchr-2+default-dev,53
librust-syn-2+extra-traits-dev,53
librust-syn-2+parsing-dev,53
messagelib,53
pciutils,53
pd64,53
pyopenssl,53
pyserial,53
r-cran-purrr,53
tinyxml2,53
cron,52
gem,52
kf6-sonnet,52
lame,52
libidn2,52
libnet-dns-perl,52
librust-bitflags-1+default-dev,52
libtimedate-perl,52
libxdamage,52
libxxf86vm,52
nspr,52
x2goserver,52
defusedxml,51
fonts-freefont,51
golang-github-google-uuid,51
golang-github-spf13-cobra,51
java8-runtime,51
kf6-kparts,51
kf6-ktextwidgets,51
libmad,51
librust-base64-0.22+default-dev,51
librust-chrono-0.4+default-dev,51
librust-syn-1+full-dev,51
librust-tempfile-3+default-dev,51
logrotate,51
obs-studio,51
phpapi-20240924,51
scotch,51
tryton-modules-account,51
apertium,50
atkmm1.6,50
bind9,50
golang-logrus,50
kf6-purpose,50
libghc-http-types-dev-0.12.4-1907e,50
libghc-http-types-prof-0.12.4-1907e,50
libparams-validate-perl,50
libportal,50
psmisc,50
python-keystoneclient,50
r-cran-xml2,50
ruamel.yaml,50
subversion,50
systemd-sysusers,50
tzdata,50
udisks2,50
ant,49
audit,49
firebird4.0,49
globus-gssapi-gsi,49
java-wrappers,49
neovim,49
python-biopython,49
r-cran-httr,49
exiv2,48
golang-golang-x-oauth2,48
gtkmm3.0,48
libboost-python1.83.0-py313,48
libjson-xs-perl,48
libmodule-pluggable-perl,48
libpath-class-perl,48
libreadonly-perl,48
libsdl2-ttf,48
lzo2,48
mysql-defaults,48
ndctl,48
nlme,48
node-inherits,48
presage,48
